2020-11-12 15:02:16 [INFO] Server load: 3% (0 players online, 0 chunks active, 101 total entities loaded, 96 living entities loaded, 5 item entities loaded, 1ms average tick time, 146MB of 981MB memory in use, time of day is 1PM)
2020-11-12 15:03:16 [INFO] Server load: 4% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 2ms average tick time, 145MB of 981MB memory in use, time of day is 2PM)
2020-11-12 15:04:06 [INFO] Server load: 1% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 0ms average tick time, 209MB of 981MB memory in use, time of day is 3PM)
2020-11-12 15:04:56 [INFO] Server load: 1% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 0ms average tick time, 208MB of 981MB memory in use, time of day is 4PM)
2020-11-12 15:05:46 [INFO] Server load: 1% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 0ms average tick time, 208MB of 981MB memory in use, time of day is 5PM)
2020-11-12 15:06:36 [INFO] Server load: 1% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 0ms average tick time, 208MB of 981MB memory in use, time of day is 6PM)
2020-11-12 15:07:26 [INFO] Server load: 1% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 0ms average tick time, 208MB of 981MB memory in use, time of day is 7PM)
2020-11-12 15:08:16 [INFO] Server load: 1% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 0ms average tick time, 208MB of 981MB memory in use, time of day is 8PM)
2020-11-12 15:09:06 [INFO] Server load: 2% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 1ms average tick time, 208MB of 981MB memory in use, time of day is 9PM)
2020-11-12 15:09:56 [INFO] Server load: 2% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 1ms average tick time, 225MB of 981MB memory in use, time of day is 10PM)
2020-11-12 15:10:46 [INFO] Server load: 1% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 0ms average tick time, 208MB of 981MB memory in use, time of day is 11PM)
2020-11-12 15:11:36 [INFO] Server load: 1% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 0ms average tick time, 208MB of 981MB memory in use, time of day is MDNT)
2020-11-12 15:12:26 [INFO] Server load: 1% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 0ms average tick time, 208MB of 981MB memory in use, time of day is 1AM)
2020-11-12 15:13:16 [INFO] Server load: 1% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 0ms average tick time, 208MB of 981MB memory in use, time of day is 2AM)
2020-11-12 15:14:06 [INFO] Server load: 1% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 0ms average tick time, 208MB of 981MB memory in use, time of day is 3AM)
2020-11-12 15:14:56 [INFO] Server load: 1% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 0ms average tick time, 208MB of 981MB memory in use, time of day is 4AM)
2020-11-12 15:15:46 [INFO] Server load: 1% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 0ms average tick time, 208MB of 981MB memory in use, time of day is 5AM)
2020-11-12 15:16:45 [INFO] Server load: 24% (0 players online, 0 chunks active, 102 total entities loaded, 96 living entities loaded, 6 item entities loaded, 12ms average tick time, 208MB of 981MB memory in use, time of day is 6AM)
2020-11-12 15:20:16 [INFO] Server load: 5% (0 players online, 0 chunks active, 101 total entities loaded, 96 living entities loaded, 5 item entities loaded, 2ms average tick time, 145MB of 981MB memory in use, time of day is 6AM)
2020-11-12 15:21:06 [INFO] Server load: 1% (0 players online, 0 chunks active, 101 total entities loaded, 96 living entities loaded, 5 item entities loaded, 0ms average tick time, 209MB of 981MB memory in use, time of day is 7AM)
2020-11-12 15:21:56 [INFO] Server load: 1% (0 players online, 0 chunks active, 101 total entities loaded, 96 living entities loaded, 5 item entities loaded, 0ms average tick time, 209MB of 981MB memory in use, time of day is 8AM)
